CVE,CVSS,PackageName,Status,Description,Tag
CVE-2019-15847,7.5,gcc,fixed in 9.3.0-r0,The POWER9 backend in GNU Compiler Collection (GCC) before version 10 could optimize multiple calls of the __builtin_darn intrinsic into a single call thus reducing the entropy of the random number generator. This occurred because a volatile operation was not specified. For example within a single execution of a program the output of every __builtin_darn() call may be the same.
NODE-SECURITY-568,9,constantinople,fixed in >=3.1.1,Versions of `constantinople` prior to 3.1.1 are vulnerable to a sandbox bypass which can lead to arbitrary code execution.
NODE-SECURITY-1179,1,minimist,fixed in >=0.2.1 <1.0.0 || >=1.2.3,Affected versions of `minimist` are vulnerable to prototype pollution. Arguments are not properly sanitized allowing an attacker to modify the prototype of `Object` causing the addition or modification of an existing property that will exist on all objects.   Parsing the argument `--__proto__.y=Polluted` adds a `y` property with value `Polluted` to all objects. The argument `--__proto__=Polluted` raises and uncaught error and crashes the application.   This is exploitable if attackers have control over the arguments being passed to `minimist`. 
NODE-SECURITY-785,1,clean-css,fixed in >=4.1.11,Version of `clean-css` prior to 4.1.11 are vulnerable to Regular Expression Denial of Service (ReDoS). Untrusted input may cause catastrophic backtracking while matching regular expressions. This can cause the application to be unresponsive leading to Denial of Service.
CVE-2015-8858,7.5,uglify-js,fixed in >=2.6.0,The uglify-js package before 2.6.0 for Node.js allows attackers to cause a denial of service (CPU consumption) via crafted input in a parse call aka a \"regular expression denial of service (ReDoS).\"
CVE-2015-8857,9.8,uglify-js,fixed in >= 2.4.24,The uglify-js package before 2.4.24 for Node.js does not properly account for non-boolean values when rewriting boolean expressions which might allow attackers to bypass security mechanisms or possibly have unspecified other impact by leveraging improperly rewritten Javascript.
CVE-2020-8116,9.8,dot-prop,fixed in >=4.2.1 <5.0.0 || >=5.1.1,Prototype pollution vulnerability in dot-prop npm package version 5.1.0 and earlier allows an attacker to add arbitrary properties to JavaScript language constructs such as objects.
CVE-2020-15095,5.5,npm,fixed in >=6.14.6,Versions of the npm CLI prior to 6.14.6 are vulnerable to an information exposure vulnerability through log files. The CLI supports URLs like \"<protocol>://[<user>[:<password>]@]<hostname>[:<port>][:][/]<path>\". The password value is not redacted and is printed to stdout and also to any generated log files.
CVE-2018-12886,8.1,gcc-8,open,stack_protect_prologue in cfgexpand.c and stack_protect_epilogue in function.c in GNU Compiler Collection (GCC) 4.1 through 8 (under certain circumstances) generate instruction sequences when targeting ARM targets that spill the address of the stack protector guard which allows an attacker to bypass the protection of -fstack-protector -fstack-protector-all -fstack-protector-strong and -fstack-protector-explicit against stack overflow by controlling what the stack canary is compared against.
CVE-2020-13871,7.5,sqlite3,open,SQLite 3.32.2 has a use-after-free in resetAccumulator in select.c because the parse tree rewrite for window functions is too late.
CVE-2020-13630,7,sqlite3,open,ext/fts3/fts3.c in SQLite before 3.32.0 has a use-after-free in fts3EvalNextRow related to the snippet feature.
CVE-2020-15358,5.5,sqlite3,open,In SQLite before 3.32.3 select.c mishandles query-flattener optimization leading to a multiSelectOrderBy heap overflow because of misuse of transitive properties for constant propagation.
CVE-2020-13632,5.5,sqlite3,open,ext/fts3/fts3_snippet.c in SQLite before 3.32.0 has a NULL pointer dereference via a crafted matchinfo() query.
CVE-2020-13631,5.5,sqlite3,open,SQLite before 3.32.0 allows a virtual table to be renamed to the name of one of its shadow tables related to alter.c and build.c.
CVE-2020-6096,8.1,glibc,open,An exploitable signed comparison vulnerability exists in the ARMv7 memcpy() implementation of GNU glibc 2.30.9000. Calling memcpy() (on ARMv7 targets that utilize the GNU glibc implementation) with a negative value for the \'num\' parameter results in a signed comparison vulnerability. If an attacker underflows the \'num\' parameter to memcpy() this vulnerability could lead to undefined behavior such as writing to out-of-bounds memory and potentially remote code execution. Furthermore this memcpy() implementation allows for program execution to continue in scenarios where a segmentation fault or crash should have occurred. The dangers occur in that subsequent execution and iterations of this code will be executed with this corrupted data.
CVE-2019-17543,8.1,lz4,open,LZ4 before 1.9.2 has a heap-based buffer overflow in LZ4_write32 (related to LZ4_compress_destSize) affecting applications that call LZ4_compress_fast with a large input. (This issue can also lead to data corruption.) NOTE: the vendor states \"only a few specific / uncommon usages of the API are at risk.\"
CVE-2019-3844,7.8,systemd,open,It was discovered that a systemd service that uses DynamicUser property can get new privileges through the execution of SUID binaries which would allow to create binaries owned by the service transient group with the setgid bit set. A local attacker may use this flaw to access resources that will be owned by a potentially different service in the future when the GID will be recycled.
CVE-2019-3843,7.8,systemd,open,It was discovered that a systemd service that uses DynamicUser property can create a SUID/SGID binary that would be allowed to run as the transient service UID/GID even after the service is terminated. A local attacker may use this flaw to access resources that will be owned by a potentially different service in the future when the UID/GID will be recycled.
CVE-2020-9327,7.5,sqlite3,open,In SQLite 3.31.1 isAuxiliaryVtabOperator allows attackers to trigger a NULL pointer dereference and segmentation fault because of generated column optimizations.
CVE-2020-11655,7.5,sqlite3,open,SQLite through 3.31.1 allows attackers to cause a denial of service (segmentation fault) via a malformed window-function query because the AggInfo object\'s initialization is mishandled.
CVE-2019-20218,7.5,sqlite3,open,selectExpander in select.c in SQLite 3.30.1 proceeds with WITH stack unwinding even after a parsing error.
